clip_id,option,method,src_path,anon_path
clip_001,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_001/A.mp4
clip_001,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_001/B.mp4
clip_001,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_001/C.mp4
clip_001,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_001/D.mp4
clip_002,A,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G015T003A016R006-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_002/A.mp4
clip_002,B,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G015T003A016R006-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_002/B.mp4
clip_002,C,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G015T003A016R006-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_002/C.mp4
clip_002,D,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G015T003A016R006-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_002/D.mp4
clip_003,A,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_003/A.mp4
clip_003,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_003/B.mp4
clip_003,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_003/C.mp4
clip_003,D,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_003/D.mp4
clip_004,A,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G021T003A016R010-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_004/A.mp4
clip_004,B,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G021T003A016R010-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_004/B.mp4
clip_004,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G021T003A016R010-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_004/C.mp4
clip_004,D,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G021T003A016R010-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_004/D.mp4
clip_005,A,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_005/A.mp4
clip_005,B,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_005/B.mp4
clip_005,C,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_005/C.mp4
clip_005,D,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_005/D.mp4
clip_006,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_006/A.mp4
clip_006,B,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_006/B.mp4
clip_006,C,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_006/C.mp4
clip_006,D,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_006/D.mp4
clip_007,A,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_007/A.mp4
clip_007,B,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_007/B.mp4
clip_007,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_007/C.mp4
clip_007,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G043T003A016R010-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_007/D.mp4
clip_008,A,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G048T003A016R010-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_008/A.mp4
clip_008,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G048T003A016R010-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_008/B.mp4
clip_008,C,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G048T003A016R010-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_008/C.mp4
clip_008,D,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G048T003A016R010-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_008/D.mp4
clip_009,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_009/A.mp4
clip_009,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_009/B.mp4
clip_009,C,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_009/C.mp4
clip_009,D,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T000A000R004-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_009/D.mp4
clip_010,A,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_010/A.mp4
clip_010,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_010/B.mp4
clip_010,C,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_010/C.mp4
clip_010,D,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G053T003A016R006-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos/videos/clip_010/D.mp4
