clip_id,dataset_key,source_name,option,method,src_path,anon_path
clip_001,G002T000A001R005,G002T000A001R005,A,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_001/A.mp4
clip_001,G002T000A001R005,G002T000A001R005,B,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_001/B.mp4
clip_001,G002T000A001R005,G002T000A001R005,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_001/C.mp4
clip_001,G002T000A001R005,G002T000A001R005,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G002T000A001R005-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_001/D.mp4
clip_002,G016T000A001R013,G016T000A001R013,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_002/A.mp4
clip_002,G016T000A001R013,G016T000A001R013,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_002/B.mp4
clip_002,G016T000A001R013,G016T000A001R013,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_002/C.mp4
clip_002,G016T000A001R013,G016T000A001R013,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G016T000A001R013-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_002/D.mp4
clip_003,G017T000A001R006,G017T000A001R006-pack02,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G017T000A001R006-pack02-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_003/A.mp4
clip_003,G017T000A001R006,G017T000A001R006-pack02,B,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G017T000A001R006-pack02-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_003/B.mp4
clip_003,G017T000A001R006,G017T000A001R006-pack02,C,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G017T000A001R006-pack02-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_003/C.mp4
clip_003,G017T000A001R006,G017T000A001R006-pack02,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G017T000A001R006-pack02-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_003/D.mp4
clip_004,G027T004A021R004,G027T004A021R004,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_004/A.mp4
clip_004,G027T004A021R004,G027T004A021R004,B,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_004/B.mp4
clip_004,G027T004A021R004,G027T004A021R004,C,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_004/C.mp4
clip_004,G027T004A021R004,G027T004A021R004,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G027T004A021R004-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_004/D.mp4
clip_005,G032T000A001R006,G032T000A001R006,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_005/A.mp4
clip_005,G032T000A001R006,G032T000A001R006,B,baseline,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-baseline_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_005/B.mp4
clip_005,G032T000A001R006,G032T000A001R006,C,hireact,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-stage2_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_005/C.mp4
clip_005,G032T000A001R006,G032T000A001R006,D,gt,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G032T000A001R006-gt_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_005/D.mp4
clip_006,G033T000A001R004,G033T000A001R004-pack02,A,hireact_star,/Users/keweiou/Desktop/Project/ReGenNet/visualize/export/videos/G033T000A001R004-pack02-stage1_0.mp4,/Users/keweiou/Desktop/Project/ReGenNet/visualize/user_study/randomized_videos_selected_gtd/videos/clip_006/A.mp4
