clip_id,criterion,method,votes,ratio
clip_001,contact,hireact,1,1.0000
clip_001,reaction,hireact,1,1.0000
clip_001,realism,hireact,1,1.0000
clip_002,contact,baseline,1,1.0000
clip_002,reaction,hireact,1,1.0000
clip_002,realism,gt,1,1.0000
clip_003,contact,gt,1,1.0000
clip_003,reaction,hireact,1,1.0000
clip_003,realism,hireact,1,1.0000
clip_004,contact,gt,1,1.0000
clip_004,reaction,hireact,1,1.0000
clip_004,realism,hireact,1,1.0000
clip_005,contact,hireact,1,1.0000
clip_005,reaction,hireact,1,1.0000
clip_005,realism,hireact,1,1.0000
clip_006,contact,hireact,1,1.0000
clip_006,reaction,hireact,1,1.0000
clip_006,realism,hireact,1,1.0000
clip_007,contact,hireact_star,1,1.0000
clip_007,reaction,hireact_star,1,1.0000
clip_007,realism,hireact,1,1.0000
clip_008,contact,gt,1,1.0000
clip_008,reaction,gt,1,1.0000
clip_008,realism,gt,1,1.0000
clip_009,contact,hireact,1,1.0000
clip_009,reaction,hireact,1,1.0000
clip_009,realism,hireact,1,1.0000
clip_010,contact,hireact,1,1.0000
clip_010,reaction,hireact_star,1,1.0000
clip_010,realism,hireact,1,1.0000
