clip_id,criterion,method,avg_rank,first_count
clip_001,contact,baseline,3.0000,0
clip_001,contact,hireact,1.0000,2
clip_001,contact,hireact_star,2.0000,0
clip_001,reaction,baseline,2.0000,0
clip_001,reaction,hireact,1.0000,2
clip_001,reaction,hireact_star,3.0000,0
clip_001,realism,baseline,3.0000,0
clip_001,realism,hireact,1.0000,2
clip_001,realism,hireact_star,2.0000,0
clip_002,contact,baseline,3.0000,0
clip_002,contact,hireact,1.0000,2
clip_002,contact,hireact_star,2.0000,0
clip_002,reaction,baseline,3.0000,0
clip_002,reaction,hireact,1.0000,2
clip_002,reaction,hireact_star,2.0000,0
clip_002,realism,baseline,3.0000,0
clip_002,realism,hireact,1.0000,2
clip_002,realism,hireact_star,2.0000,0
clip_003,contact,baseline,3.0000,0
clip_003,contact,hireact,2.0000,0
clip_003,contact,hireact_star,1.0000,2
clip_003,reaction,baseline,2.0000,0
clip_003,reaction,hireact,3.0000,0
clip_003,reaction,hireact_star,1.0000,2
clip_003,realism,baseline,2.0000,0
clip_003,realism,hireact,3.0000,0
clip_003,realism,hireact_star,1.0000,2
clip_004,contact,baseline,1.0000,2
clip_004,contact,hireact,3.0000,0
clip_004,contact,hireact_star,2.0000,0
clip_004,reaction,baseline,1.0000,2
clip_004,reaction,hireact,3.0000,0
clip_004,reaction,hireact_star,2.0000,0
clip_004,realism,baseline,1.0000,2
clip_004,realism,hireact,3.0000,0
clip_004,realism,hireact_star,2.0000,0
clip_005,contact,baseline,3.0000,0
clip_005,contact,hireact,1.0000,2
clip_005,contact,hireact_star,2.0000,0
clip_005,reaction,baseline,2.0000,0
clip_005,reaction,hireact,1.0000,2
clip_005,reaction,hireact_star,3.0000,0
clip_005,realism,baseline,2.0000,0
clip_005,realism,hireact,1.0000,2
clip_005,realism,hireact_star,3.0000,0
clip_006,contact,baseline,3.0000,0
clip_006,contact,hireact,1.0000,2
clip_006,contact,hireact_star,2.0000,0
clip_006,reaction,baseline,3.0000,0
clip_006,reaction,hireact,1.0000,2
clip_006,reaction,hireact_star,2.0000,0
clip_006,realism,baseline,3.0000,0
clip_006,realism,hireact,1.0000,2
clip_006,realism,hireact_star,2.0000,0
clip_007,contact,baseline,2.0000,0
clip_007,contact,hireact,1.0000,2
clip_007,contact,hireact_star,3.0000,0
clip_007,reaction,baseline,2.0000,0
clip_007,reaction,hireact,1.0000,2
clip_007,reaction,hireact_star,3.0000,0
clip_007,realism,baseline,2.0000,0
clip_007,realism,hireact,1.0000,2
clip_007,realism,hireact_star,3.0000,0
clip_008,contact,baseline,3.0000,0
clip_008,contact,hireact,1.0000,2
clip_008,contact,hireact_star,2.0000,0
clip_008,reaction,baseline,1.0000,2
clip_008,reaction,hireact,2.0000,0
clip_008,reaction,hireact_star,3.0000,0
clip_008,realism,baseline,1.0000,2
clip_008,realism,hireact,2.0000,0
clip_008,realism,hireact_star,3.0000,0
clip_009,contact,baseline,3.0000,0
clip_009,contact,hireact,1.0000,2
clip_009,contact,hireact_star,2.0000,0
clip_009,reaction,baseline,3.0000,0
clip_009,reaction,hireact,1.0000,2
clip_009,reaction,hireact_star,2.0000,0
clip_009,realism,baseline,3.0000,0
clip_009,realism,hireact,1.0000,2
clip_009,realism,hireact_star,2.0000,0
clip_010,contact,baseline,3.0000,0
clip_010,contact,hireact,1.0000,2
clip_010,contact,hireact_star,2.0000,0
clip_010,reaction,baseline,3.0000,0
clip_010,reaction,hireact,1.0000,2
clip_010,reaction,hireact_star,2.0000,0
clip_010,realism,baseline,3.0000,0
clip_010,realism,hireact,1.0000,2
clip_010,realism,hireact_star,2.0000,0
