criterion,winner,loser,wins
contact,baseline,hireact,46
contact,baseline,hireact_star,78
contact,hireact,baseline,214
contact,hireact,hireact_star,193
contact,hireact_star,baseline,182
contact,hireact_star,hireact,67
reaction,baseline,hireact,60
reaction,baseline,hireact_star,89
reaction,hireact,baseline,200
reaction,hireact,hireact_star,186
reaction,hireact_star,baseline,171
reaction,hireact_star,hireact,74
realism,baseline,hireact,57
realism,baseline,hireact_star,86
realism,hireact,baseline,203
realism,hireact,hireact_star,191
realism,hireact_star,baseline,174
realism,hireact_star,hireact,69
