criterion,winner,loser,wins
contact,baseline,hireact,2
contact,baseline,hireact_star,6
contact,hireact,baseline,8
contact,hireact,hireact_star,8
contact,hireact_star,baseline,4
contact,hireact_star,hireact,2
reaction,baseline,hireact,2
reaction,baseline,hireact_star,8
reaction,hireact,baseline,8
reaction,hireact,hireact_star,10
reaction,hireact_star,baseline,2
realism,baseline,hireact,3
realism,baseline,hireact_star,6
realism,hireact,baseline,7
realism,hireact,hireact_star,9
realism,hireact_star,baseline,4
realism,hireact_star,hireact,1
