criterion,winner,loser,wins
contact,baseline,hireact,2
contact,baseline,hireact_star,2
contact,hireact,baseline,18
contact,hireact,hireact_star,12
contact,hireact_star,baseline,18
contact,hireact_star,hireact,8
reaction,baseline,hireact,2
reaction,baseline,hireact_star,2
reaction,hireact,baseline,18
reaction,hireact,hireact_star,14
reaction,hireact_star,baseline,18
reaction,hireact_star,hireact,6
realism,baseline,hireact,2
realism,baseline,hireact_star,2
realism,hireact,baseline,18
realism,hireact,hireact_star,12
realism,hireact_star,baseline,18
realism,hireact_star,hireact,8
