criterion,winner,loser,wins
contact,baseline,hireact,4
contact,baseline,hireact_star,5
contact,hireact,baseline,6
contact,hireact,hireact_star,8
contact,hireact_star,baseline,5
contact,hireact_star,hireact,2
reaction,baseline,hireact,4
reaction,baseline,hireact_star,5
reaction,hireact,baseline,6
reaction,hireact,hireact_star,8
reaction,hireact_star,baseline,5
reaction,hireact_star,hireact,2
realism,baseline,hireact,4
realism,baseline,hireact_star,6
realism,hireact,baseline,6
realism,hireact,hireact_star,9
realism,hireact_star,baseline,4
realism,hireact_star,hireact,1
