criterion,winner,loser,wins
contact,baseline,hireact,2
contact,baseline,hireact_star,2
contact,hireact,baseline,8
contact,hireact,hireact_star,7
contact,hireact_star,baseline,8
contact,hireact_star,hireact,3
reaction,baseline,hireact,2
reaction,baseline,hireact_star,2
reaction,hireact,baseline,8
reaction,hireact,hireact_star,9
reaction,hireact_star,baseline,8
reaction,hireact_star,hireact,1
realism,baseline,hireact,2
realism,baseline,hireact_star,3
realism,hireact,baseline,8
realism,hireact,hireact_star,6
realism,hireact_star,baseline,7
realism,hireact_star,hireact,4
