criterion,winner,loser,wins
contact,baseline,hireact,1
contact,baseline,hireact_star,3
contact,hireact,baseline,9
contact,hireact,hireact_star,8
contact,hireact_star,baseline,7
contact,hireact_star,hireact,2
reaction,baseline,hireact_star,3
reaction,hireact,baseline,10
reaction,hireact,hireact_star,9
reaction,hireact_star,baseline,7
reaction,hireact_star,hireact,1
realism,baseline,hireact_star,3
realism,hireact,baseline,10
realism,hireact,hireact_star,6
realism,hireact_star,baseline,7
realism,hireact_star,hireact,4
