criterion,winner,loser,wins
contact,baseline,hireact,6
contact,baseline,hireact_star,2
contact,hireact,baseline,4
contact,hireact,hireact_star,2
contact,hireact_star,baseline,8
contact,hireact_star,hireact,8
reaction,baseline,hireact,3
reaction,baseline,hireact_star,3
reaction,hireact,baseline,7
reaction,hireact,hireact_star,6
reaction,hireact_star,baseline,7
reaction,hireact_star,hireact,4
realism,baseline,hireact,7
realism,baseline,hireact_star,5
realism,hireact,baseline,3
realism,hireact,hireact_star,3
realism,hireact_star,baseline,5
realism,hireact_star,hireact,7
