criterion,winner,loser,wins
contact,baseline,hireact,4
contact,baseline,hireact_star,4
contact,hireact,baseline,16
contact,hireact,hireact_star,14
contact,hireact_star,baseline,16
contact,hireact_star,hireact,6
reaction,baseline,hireact,4
reaction,baseline,hireact_star,4
reaction,hireact,baseline,16
reaction,hireact,hireact_star,14
reaction,hireact_star,baseline,16
reaction,hireact_star,hireact,6
realism,baseline,hireact,4
realism,baseline,hireact_star,4
realism,hireact,baseline,16
realism,hireact,hireact_star,14
realism,hireact_star,baseline,16
realism,hireact_star,hireact,6
