criterion,winner,loser,wins
contact,baseline,hireact_star,3
contact,hireact,baseline,10
contact,hireact,hireact_star,10
contact,hireact_star,baseline,7
reaction,baseline,hireact,4
reaction,baseline,hireact_star,2
reaction,hireact,baseline,6
reaction,hireact,hireact_star,4
reaction,hireact_star,baseline,8
reaction,hireact_star,hireact,6
realism,baseline,hireact,3
realism,baseline,hireact_star,4
realism,hireact,baseline,7
realism,hireact,hireact_star,8
realism,hireact_star,baseline,6
realism,hireact_star,hireact,2
