participant_id,timestamp,clip_id,dataset_key,reference_option,candidate_options,contact_rank1,contact_rank2,contact_rank3,reaction_rank1,reaction_rank2,reaction_rank3,realism_rank1,realism_rank2,realism_rank3
ke,2026-05-06T17:10:49,clip_001,G002T000A001R005,D,"A,B,C",C,A,B,C,B,A,C,A,B
ke,2026-05-06T17:10:49,clip_002,G016T000A001R013,D,"A,B,C",C,A,B,C,A,B,C,B,A
ke,2026-05-06T17:10:49,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
ke,2026-05-06T17:10:49,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,B,A,C,A,B,C
ke,2026-05-06T17:10:49,clip_005,G032T000A001R006,D,"A,B,C",C,A,B,C,B,A,C,A,B
ke,2026-05-06T17:10:49,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,C,A,B
ke,2026-05-06T17:10:49,clip_007,G043T003A016R010,D,"A,B,C",B,A,C,B,A,C,B,A,C
ke,2026-05-06T17:10:49,clip_008,G053T000A000R001,D,"A,B,C",B,A,C,B,C,A,B,A,C
ke,2026-05-06T17:10:49,clip_009,G053T000A000R004,D,"A,B,C",B,C,A,B,C,A,B,C,A
ke,2026-05-06T17:10:49,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,C,A,B,A,C,B
kcb,2026-05-06T17:54:06,clip_001,G002T000A001R005,D,"A,B,C",C,A,B,C,B,A,C,B,A
kcb,2026-05-06T17:54:06,clip_002,G016T000A001R013,D,"A,B,C",C,B,A,C,A,B,C,A,B
kcb,2026-05-06T17:54:06,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
kcb,2026-05-06T17:54:06,clip_004,G027T004A021R004,D,"A,B,C",B,A,C,B,A,C,B,A,C
kcb,2026-05-06T17:54:06,clip_005,G032T000A001R006,D,"A,B,C",C,A,B,C,A,B,C,A,B
kcb,2026-05-06T17:54:06,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,C,A,B
kcb,2026-05-06T17:54:06,clip_007,G043T003A016R010,D,"A,B,C",C,A,B,C,B,A,C,A,B
kcb,2026-05-06T17:54:06,clip_008,G053T000A000R001,D,"A,B,C",C,A,B,C,A,B,C,A,B
kcb,2026-05-06T17:54:06,clip_009,G053T000A000R004,D,"A,B,C",C,B,A,C,B,A,C,B,A
kcb,2026-05-06T17:54:06,clip_010,G053T003A016R006,D,"A,B,C",C,A,B,C,A,B,C,A,B
cfy,2026-05-06T18:00:46,clip_001,G002T000A001R005,D,"A,B,C",C,A,B,C,B,A,C,A,B
cfy,2026-05-06T18:00:46,clip_002,G016T000A001R013,D,"A,B,C",C,A,B,C,A,B,C,B,A
cfy,2026-05-06T18:00:46,clip_003,G017T000A001R006,D,"A,B,C",B,A,C,B,A,C,B,A,C
cfy,2026-05-06T18:00:46,clip_004,G027T004A021R004,D,"A,B,C",A,B,C,B,A,C,A,B,C
cfy,2026-05-06T18:00:46,clip_005,G032T000A001R006,D,"A,B,C",C,A,B,C,B,A,C,A,B
cfy,2026-05-06T18:00:46,clip_006,G033T000A001R004,D,"A,B,C",C,A,B,C,A,B,C,A,B
cfy,2026-05-06T18:00:46,clip_007,G043T003A016R010,D,"A,B,C",B,A,C,B,A,C,B,A,C
